Date,Region,Cases,Case Rate,dt[Cases],dt[Case Rate]
2020-03-30,Angeles Forest,0,0.0,,
2020-03-30,Antelope Valley,36,3.9,,
2020-03-30,Central LA,403,45.64,,
2020-03-30,Eastside,27,7.88,,
2020-03-30,Harbor,186,13.44,,
2020-03-30,Northeast LA,25,14.83,,
2020-03-30,Northwest County,44,15.54,,
2020-03-30,Pomona Valley,8,3.53,,
2020-03-30,San Fernando Valley,347,21.6,,
2020-03-30,San Gabriel Valley,93,6.24,,
2020-03-30,Santa Monica Mountains,20,29.23,,
2020-03-30,South Bay,213,27.46,,
2020-03-30,South LA,91,10.79,,
2020-03-30,Southeast,156,12.25,,
2020-03-30,Verdugos,94,15.13,,
2020-03-30,Westside,310,55.09,,
2020-03-31,Angeles Forest,0,0.0,0,0.0
2020-03-31,Antelope Valley,45,6.06,9,2.16
2020-03-31,Central LA,470,53.29,67,7.65
2020-03-31,Eastside,32,10.34,5,2.46
2020-03-31,Harbor,219,15.74,33,2.3
2020-03-31,Northeast LA,30,17.8,5,2.97
2020-03-31,Northwest County,51,18.2,7,2.66
2020-03-31,Pomona Valley,14,6.18,6,2.65
2020-03-31,San Fernando Valley,410,25.27,63,3.67
2020-03-31,San Gabriel Valley,115,7.7,22,1.46
2020-03-31,Santa Monica Mountains,24,35.08,4,5.85
2020-03-31,South Bay,261,33.64,48,6.18
2020-03-31,South LA,147,17.44,56,6.65
2020-03-31,Southeast,201,16.01,45,3.76
2020-03-31,Verdugos,131,21.08,37,5.95
2020-03-31,Westside,357,63.44,47,8.35
2020-04-01,Angeles Forest,0,0.0,0,0.0
2020-04-01,Antelope Valley,50,7.79,5,1.73
2020-04-01,Central LA,547,62.37,77,9.08
2020-04-01,Eastside,40,12.31,8,1.97
2020-04-01,Harbor,249,28.2,30,12.46
2020-04-01,Northeast LA,36,21.36,6,3.56
2020-04-01,Northwest County,53,18.95,2,0.75
2020-04-01,Pomona Valley,18,7.95,4,1.77
2020-04-01,San Fernando Valley,487,30.0,77,4.73
2020-04-01,San Gabriel Valley,151,10.12,36,2.42
2020-04-01,Santa Monica Mountains,23,33.62,-1,-1.46
2020-04-01,South Bay,303,39.06,42,5.42
2020-04-01,South LA,221,26.21,74,8.77
2020-04-01,Southeast,248,19.94,47,3.93
2020-04-01,Verdugos,154,32.08,23,11.0
2020-04-01,Westside,396,70.37,39,6.93
2020-04-02,Angeles Forest,0,0.0,0,0.0
2020-04-02,Antelope Valley,53,8.66,3,0.87
2020-04-02,Central LA,604,68.94,57,6.57
2020-04-02,Eastside,58,18.71,18,6.4
2020-04-02,Harbor,277,30.96,28,2.76
2020-04-02,Northeast LA,41,24.32,5,2.96
2020-04-02,Northwest County,74,26.54,21,7.59
2020-04-02,Pomona Valley,20,8.83,2,0.88
2020-04-02,San Fernando Valley,568,34.99,81,4.99
2020-04-02,San Gabriel Valley,177,11.86,26,1.74
2020-04-02,Santa Monica Mountains,32,46.77,9,13.15
2020-04-02,South Bay,346,44.6,43,5.54
2020-04-02,South LA,271,32.15,50,5.94
2020-04-02,Southeast,290,23.53,42,3.59
2020-04-02,Verdugos,168,34.99,14,2.91
2020-04-02,Westside,424,75.35,28,4.98
2020-04-03,Angeles Forest,0,0.0,0,0.0
2020-04-03,Antelope Valley,65,11.69,12,3.03
2020-04-03,Central LA,698,79.81,94,10.87
2020-04-03,Eastside,74,22.65,16,3.94
2020-04-03,Harbor,324,35.88,47,4.92
2020-04-03,Northeast LA,53,31.44,12,7.12
2020-04-03,Northwest County,93,33.74,19,7.2
2020-04-03,Pomona Valley,28,12.37,8,3.54
2020-04-03,San Fernando Valley,658,40.44,90,5.45
2020-04-03,San Gabriel Valley,200,13.45,23,1.59
2020-04-03,Santa Monica Mountains,39,57.0,7,10.23
2020-04-03,South Bay,402,51.82,56,7.22
2020-04-03,South LA,314,37.25,43,5.1
2020-04-03,Southeast,325,26.41,35,2.88
2020-04-03,Verdugos,182,37.91,14,2.92
2020-04-03,Westside,466,82.81,42,7.46
2020-04-04,Angeles Forest,0,0.0,0,0.0
2020-04-04,Antelope Valley,74,13.42,9,1.73
2020-04-04,Central LA,775,88.89,77,9.08
2020-04-04,Eastside,103,32.99,29,10.34
2020-04-04,Harbor,363,40.55,39,4.67
2020-04-04,Northeast LA,69,40.93,16,9.49
2020-04-04,Northwest County,108,39.05,15,5.31
2020-04-04,Pomona Valley,31,13.69,3,1.32
2020-04-04,San Fernando Valley,802,49.23,144,8.79
2020-04-04,San Gabriel Valley,248,16.71,48,3.26
2020-04-04,Santa Monica Mountains,41,59.93,2,2.93
2020-04-04,South Bay,440,56.72,38,4.9
2020-04-04,South LA,376,44.6,62,7.35
2020-04-04,Southeast,398,32.36,73,5.95
2020-04-04,Verdugos,202,42.08,20,4.17
2020-04-04,Westside,501,89.03,35,6.22
2020-04-05,Angeles Forest,0,0.0,0,0.0
2020-04-05,Antelope Valley,88,16.01,14,2.59
2020-04-05,Central LA,869,100.13,94,11.24
2020-04-05,Eastside,110,35.94,7,2.95
2020-04-05,Harbor,412,46.31,49,5.76
2020-04-05,Northeast LA,84,49.83,15,8.9
2020-04-05,Northwest County,122,44.35,14,5.3
2020-04-05,Pomona Valley,36,15.9,5,2.21
2020-04-05,San Fernando Valley,906,55.47,104,6.24
2020-04-05,San Gabriel Valley,298,20.04,50,3.33
2020-04-05,Santa Monica Mountains,51,67.23,10,7.3
2020-04-05,South Bay,478,61.62,38,4.9
2020-04-05,South LA,438,51.95,62,7.35
2020-04-05,Southeast,502,40.67,104,8.31
2020-04-05,Verdugos,254,52.91,52,10.83
2020-04-05,Westside,537,95.43,36,6.4
2020-04-06,Angeles Forest,0,0.0,0,0.0
2020-04-06,Antelope Valley,107,19.91,19,3.9
2020-04-06,Central LA,927,106.58,58,6.45
2020-04-06,Eastside,123,40.87,13,4.93
2020-04-06,Harbor,450,50.27,38,3.96
2020-04-06,Northeast LA,92,54.58,8,4.75
2020-04-06,Northwest County,128,46.25,6,1.9
2020-04-06,Pomona Valley,43,18.99,7,3.09
2020-04-06,San Fernando Valley,979,59.67,73,4.2
2020-04-06,San Gabriel Valley,343,22.88,45,2.84
2020-04-06,Santa Monica Mountains,52,68.7,1,1.47
2020-04-06,South Bay,523,67.42,45,5.8
2020-04-06,South LA,476,56.46,38,4.51
2020-04-06,Southeast,546,44.0,44,3.33
2020-04-06,Verdugos,272,56.66,18,3.75
2020-04-06,Westside,558,99.16,21,3.73
2020-04-07,Angeles Forest,0,0.0,0,0.0
2020-04-07,Antelope Valley,117,22.94,10,3.03
2020-04-07,Central LA,1002,115.66,75,9.08
2020-04-07,Eastside,133,44.8,10,3.93
2020-04-07,Harbor,479,53.75,29,3.48
2020-04-07,Northeast LA,104,61.7,12,7.12
2020-04-07,Northwest County,135,48.9,7,2.65
2020-04-07,Pomona Valley,48,21.2,5,2.21
2020-04-07,San Fernando Valley,1088,66.1,109,6.43
2020-04-07,San Gabriel Valley,377,25.17,34,2.29
2020-04-07,Santa Monica Mountains,53,70.16,1,1.46
2020-04-07,South Bay,566,72.96,43,5.54
2020-04-07,South LA,537,63.7,61,7.24
2020-04-07,Southeast,615,49.68,69,5.68
2020-04-07,Verdugos,307,63.95,35,7.29
2020-04-07,Westside,590,104.85,32,5.69
2020-04-08,Angeles Forest,0,0.0,0,0.0
2020-04-08,Antelope Valley,138,28.13,21,5.19
2020-04-08,Central LA,1068,122.95,66,7.29
2020-04-08,Eastside,149,50.22,16,5.42
2020-04-08,Harbor,525,58.67,46,4.92
2020-04-08,Northeast LA,123,72.97,19,11.27
2020-04-08,Northwest County,149,54.21,14,5.31
2020-04-08,Pomona Valley,55,24.29,7,3.09
2020-04-08,San Fernando Valley,1172,71.29,84,5.19
2020-04-08,San Gabriel Valley,392,26.14,15,0.97
2020-04-08,Santa Monica Mountains,59,78.93,6,8.77
2020-04-08,South Bay,609,78.5,43,5.54
2020-04-08,South LA,596,70.7,59,7.0
2020-04-08,Southeast,675,54.58,60,4.9
2020-04-08,Verdugos,337,70.2,30,6.25
2020-04-08,Westside,610,108.4,20,3.55
2020-04-09,Angeles Forest,0,0.0,0,0.0
2020-04-09,Antelope Valley,156,35.49,18,7.36
2020-04-09,Central LA,1140,131.43,72,8.48
2020-04-09,Eastside,161,54.65,12,4.43
2020-04-09,Harbor,571,64.07,46,5.4
2020-04-09,Northeast LA,138,81.87,15,8.9
2020-04-09,Northwest County,155,56.11,6,1.9
2020-04-09,Pomona Valley,61,26.94,6,2.65
2020-04-09,San Fernando Valley,1247,76.02,75,4.73
2020-04-09,San Gabriel Valley,440,29.33,48,3.19
2020-04-09,Santa Monica Mountains,61,81.85,2,2.92
2020-04-09,South Bay,650,83.79,41,5.29
2020-04-09,South LA,647,76.75,51,6.05
2020-04-09,Southeast,747,60.26,72,5.68
2020-04-09,Verdugos,386,80.4,49,10.2
2020-04-09,Westside,623,110.71,13,2.31
2020-04-10,Angeles Forest,0,0.0,0,0.0
2020-04-10,Antelope Valley,172,40.25,16,4.76
2020-04-10,Central LA,1204,138.96,64,7.53
2020-04-10,Eastside,178,61.55,17,6.9
2020-04-10,Harbor,609,68.39,38,4.32
2020-04-10,Northeast LA,141,83.65,3,1.78
2020-04-10,Northwest County,161,58.0,6,1.89
