Date,Region,Cases,New cases,"New cases, 14-day avg",Cases per 100k,"New cases, 14-day avg per 100k"
2020-03-30,Antelope Valley,36,,,9.1,
2020-03-30,San Fernando,660,,,29.4,
2020-03-30,San Gabriel,116,,,6.4,
2020-03-30,Metro,294,,,24.7,
2020-03-30,West,324,,,48.6,
2020-03-30,South,89,,,8.5,
2020-03-30,East,139,,,10.5,
2020-03-30,South Bay,395,,,25.2,
2020-03-31,Antelope Valley,45,9,,11.3,
2020-03-31,San Fernando,777,117,,34.6,
2020-03-31,San Gabriel,157,41,,8.7,
2020-03-31,Metro,349,55,,29.3,
2020-03-31,West,373,49,,55.9,
2020-03-31,South,140,51,,13.3,
2020-03-31,East,185,46,,14.0,
2020-03-31,South Bay,481,86,,30.6,
2020-04-01,Antelope Valley,50,5,,12.6,
2020-04-01,San Fernando,889,112,,39.5,
2020-04-01,San Gabriel,205,48,,11.3,
2020-04-01,Metro,420,71,,35.2,
2020-04-01,West,420,47,,62.9,
2020-04-01,South,186,46,,17.7,
2020-04-01,East,249,64,,18.9,
2020-04-01,South Bay,557,76,,35.5,
2020-04-02,Antelope Valley,53,3,,13.3,
2020-04-02,San Fernando,1019,130,,45.3,
2020-04-02,San Gabriel,243,38,,13.4,
2020-04-02,Metro,474,54,,39.8,
2020-04-02,West,453,33,,67.9,
2020-04-02,South,228,42,,21.7,
2020-04-02,East,294,45,,22.3,
2020-04-02,South Bay,639,82,,40.7,
2020-04-03,Antelope Valley,65,12,,16.4,
2020-04-03,San Fernando,1161,142,,51.6,
2020-04-03,San Gabriel,277,34,,15.3,
2020-04-03,Metro,575,101,,48.2,
2020-04-03,West,504,51,,75.5,
2020-04-03,South,266,38,,25.3,
2020-04-03,East,329,35,,24.9,
2020-04-03,South Bay,744,105,,47.4,
2020-04-04,Antelope Valley,74,9,,18.6,
2020-04-04,San Fernando,1373,212,,61.1,
2020-04-04,San Gabriel,329,52,,18.1,
2020-04-04,Metro,652,77,,54.7,
2020-04-04,West,549,45,,82.3,
2020-04-04,South,317,51,,30.2,
2020-04-04,East,410,81,,31.0,
2020-04-04,South Bay,827,83,,52.7,
2020-04-05,Antelope Valley,88,14,,22.2,
2020-04-05,San Fernando,1549,176,,68.9,
2020-04-05,San Gabriel,412,83,,22.7,
2020-04-05,Metro,740,88,,62.1,
2020-04-05,West,591,42,,88.6,
2020-04-05,South,384,67,,36.5,
2020-04-05,East,504,94,,38.2,
2020-04-05,South Bay,917,90,,58.4,
2020-04-06,Antelope Valley,107,19,,26.9,
2020-04-06,San Fernando,1655,106,,73.6,
2020-04-06,San Gabriel,465,53,,25.6,
2020-04-06,Metro,804,64,,67.5,
2020-04-06,West,622,31,,93.2,
2020-04-06,South,422,38,,40.2,
2020-04-06,East,547,43,,41.4,
2020-04-06,South Bay,997,80,,63.5,
2020-04-07,Antelope Valley,117,10,,29.5,
2020-04-07,San Fernando,1813,158,,80.6,
2020-04-07,San Gabriel,517,52,,28.5,
2020-04-07,Metro,874,70,,73.3,
2020-04-07,West,657,35,,98.5,
2020-04-07,South,480,58,,45.7,
2020-04-07,East,621,74,,47.0,
2020-04-07,South Bay,1072,75,,68.3,
2020-04-08,Antelope Valley,138,21,,34.7,
2020-04-08,San Fernando,1953,140,,86.9,
2020-04-08,San Gabriel,550,33,,30.3,
2020-04-08,Metro,951,77,,79.8,
2020-04-08,West,689,32,,103.3,
2020-04-08,South,533,53,,50.7,
2020-04-08,East,682,61,,51.6,
2020-04-08,South Bay,1161,89,,74.0,
2020-04-09,Antelope Valley,156,18,,39.3,
