Setting Name,Address,Total Confirmed Staff,Total Confirmed Non-Staff
3M,"2724 Peck Rd, Monrovia, CA, 91016",18,0
99 Cents Only Stores Warehouse and Corporate Office,"4000 Union Pacific Ave, Commerce, CA, 90023",120,0
"365 Delivery, Inc.","21822 Lassen St, Chatsworth, CA, 91311",3,0
"AA Meat, Inc.","6544 Flotilla St, Commerce, CA, 90040",7,0
Abbott Laboratories,"15900 Valley View Ct, Sylmar, CA, 91342",30,0
Able Services,"351 S Fuller Ave, Tower 35, Los Angeles, CA, 90036",16,0
Access Animal Specialty and Emergency Hospital,"20051 Ventura Blvd, Woodland Hills, CA, 91364",15,0
Accurate Steel Treating,"10008 Miller Way, South Gate, CA, 90280",8,0
"Acromil, LLC","18421 Railroad St, City of Industry, CA, 91748",7,0
Aero Chrome Plating,"14660 Arminta St, Panorama City, CA, 91402",5,0
Aeroscopic Construction,"1833 Dana St, Glendale, CA, 91201",6,0
Air Fayre,"1720 W 135th St, Gardena, CA, 90249",22,0
"Airnamic, Inc.","801 Western Ave, Glendale, CA, 91201",26,0
Alexander's Prime Meats,"6580 N San Gabriel Blvd, San Gabriel, CA, 91775",15,0
Alhambra Fire Department - Fire Station No 1,"301 N 1st St Alhambra Ca91801, Alhambra, CA, 91801",4,0
Alpha Aviation Components,"16772 Schoenborn St, North Hills, CA, 91343",11,0
Alpha Romero Maserati of Van Nuys,"5711 Van Nuys Blvd, Van Nuys, CA, 91401",37,0
"Amazon Bookstore, Los Cerritos - JFN3","239 Los Cerritos Mall, Ste C03, Cerritos, CA, 90703",5,0
Amazon DAX7,"9350 Rayo Ave, South Gate, CA, 90280",78,0
Amazon DLA3,"5829 Smithway St, Commerce, CA, 90040",48,0
Amazon DLA8,"2815 W El Segundo Blvd, Hawthorne, CA, 90250",52,0
Amazon DLX9,"5750 Mesmer Ave, Culver City, CA, 90230",12,0
Amazon DPS1,"4187 Temple City Blvd, El Monte, CA, 91731",102,0
Amazon Fresh,"19340 Rinaldi St, Northridge, CA, 91326",36,0
American Fruits and Flavors,"10725 Sutter Ave, Pacoima, CA, 91331",17,0
"American Honda Motor Co., Inc.","700 Van Ness Ave, Torrance, CA, 90501",16,0
"American Nuts, LLC","12950 San Fernando Rd, Sylmar, CA, 91342",14,0
Andrew Lauren Surfaces,"13220 Cambridge St, Santa Fe Springs, CA, 90670",24,0
Anheuser-Busch Beach Cities Wholly Owned Distributor,"20499 S Reeves Ave, Carson, CA, 90810",14,0
Anheuser-Busch Central LA,"12065 Pike St, Santa Fe Springs, CA, 90670",16,0
Anheuser-Busch Inland Empire,"2800 S Reservoir St, Pomona, CA, 91766",17,0
"Apple Store, Los Cerritos Center","242 Los Cerritos Mall, Cerritos, CA, 90703",15,0
Arcadia Fire Department,"710 S Santa Anita Ave, Arcadia, CA, 91006",10,0
"Arcadia, Inc. Steel Windows Department","2301 E Vernon Ave, Vernon, CA, 90058",13,0
Armorcast Products Company (1),"9140 Lurline Ave, Chatsworth, CA, 91311",17,0
Armorcast Products Company (2),"9140 Lurline Ave, Chatsworth, CA, 91311",15,0
AT&T,"12911 183rd St, Cerritos, CA, 90703",20,0
Athens Services,"9147 De Garmo Ave, Sun Valley, CA, 91352",9,0
Atlas Assembly,"905 Allen Ave, Glendale, CA, 91201",20,0
AutoNation Toyota Cerritos,"18700 Studebaker Rd, Cerritos, CA, 90703",35,0
Bagcraft Novolex,"515 Turnbull Canyon Rd, City of Industry, CA, 91745",23,0
Bakkavor Foods,"18201 Central Ave, Carson, CA, 90746",55,0
"Bapko Metal, Inc.","6033 West Century Blvd, Los Angeles, CA, 90045",5,0
Barone's,"13726 Oxnard St, Van Nuys, CA, 91401",5,0
"Barry Avenue Plating Co., Inc.","2210 Barry Ave, Los Angeles, CA, 90064",25,0
BDR Industries,"820 E Avenue L12, Lancaster, CA, 93535",16,0
Bell Police Department,"6326 Pine Ave, Bell, CA, 90201",11,0
Bellis Steel Company,"8740 Vanalden Ave, Northridge, CA, 91324",3,0
Bentley Mills LA,"14641 Don Julian Rd, City of Industry, CA, 91746",99,0
"Bernards Brothers Construction, LMU Construction Site","1 LMU Dr, Los Angeles, CA, 90045",45,0
Best Buy Downey,"12118 Lakewood Blvd, Downey, CA, 90242",15,0
Best Buy West Hollywood,"1015 N La Brea Ave, West Hollywood, CA, 90038",28,0
Beverly Hills Hotel,"9641 Sunset Blvd, Beverly Hills, CA, 90210",19,0
Big 5 Sporting Goods El Segundo #137,"2515 E El Segundo Blvd, El Segundo, CA, 90245",7,0
Bimbo Bakery - South Gate,"9430 Rayo Ave, South Gate, CA, 90280",5,0
Bobs Hawaiian Restaurant,"15926 S Western Ave, Gardena, CA, 90247",5,0
Bocchi Laboratory,"26455 Ruether Ave, Santa Clarita, CA, 91350",49,0
"Bon Appetit, Alcoa Ave","4700 Alcoa Ave, Vernon, CA, 90058",17,0
Brentwood Originals,"20639 S Fordyce Ave, Carson, CA, 90810",99,0
Bristol Farms #4 Westchester,"8448 Lincoln Blvd, Westchester, CA, 90045",10,0
"Broadleaf, Inc.","5600 S Alameda St, Vernon, CA, 90058",21,0
"Burbank Unified School District, Facilities Department","1900 W Olive Ave, Burbank, CA, 91506",6,0
C&G Plastics,"12729 Foothill Blvd, Sylmar, CA, 91342",5,0
Cacique #10537,"14940 Proctor Ave, City of Industry, CA, 91746",51,0
California Highway Patrol Santa Fe Springs,"10051 Orr And Day Rd, Santa Fe Springs, CA, 90670",21,0
"California Rain Co., Inc.","1213 E 14th St, Los Angeles, CA, 90021",11,0
Caltrans Monrovia,"850 E Huntington Dr, Monrovia, CA, 91016",6,0
Caltrans Tarzana - Maintenance Yard 3,"5660 Reseda Blvd, Tarzana, CA, 91356",6,0
Camino Real Kitchens,"2638 E Vernon Ave, Vernon, CA, 90058",33,0
"Campus Residential Dining, UCLA","351 Charles E Young Dr W, Los Angeles, CA, 90024",9,0
Cannasafe,"7027 Hayvenhurst Ave, Van Nuys, CA, 91406",9,0
Carmax,"405 W Technology Dr, Palmdale, CA, 93551",16,0
CBS Studio Center Stage 04,"4024 Radford Ave, Studio City, CA, 91604",11,0
CBS Studio Center Stage 14,"4024 Radford Ave, Studio City, CA, 91604",8,0
CEMCO,"263 N Covina Ln, La Puente, CA, 91746",12,0
Century 21 All Stars,"9155 Telegraph Rd, Pico Rivera, CA, 90660",5,0
Cenveo Worldwide Limited,"705 Baldwin Park Blvd, City of Industry, CA, 91746",45,0
Certainteed,"1431 W E St, Wilmington, CA, 90744",7,0
Chabalitas Restaurant,"10767 San Fernando Rd, Pacoima, CA, 91331",3,0
Cheef Holdings,"7250 Bandini Blvd, #110, Commerce, CA, 90040",12,0
"Chevrolet, Community","200 W Olive Ave, Burbank, CA, 91502",15,0
"Chevrolet, George","17000 Lakewood Blvd, Bellflower, CA, 90706",9,0
Chick-Fil-A Devonshire & Reseda,"18521 Devonshire St, Northridge, CA, 91324",18,0
Chick-Fil-A Downey,"8613 Firestone Blvd, Downey, CA, 90241",21,0
Chick-Fil-A Santa Clarita,"24180 Magic Mountain Pkwy, Santa Clarita, CA, 91355",13,0
CIMC Intermodal Equipment,"10530 Sessler St, South Gate, CA, 90280",15,0
Cintas Corp.,"7735 Paramount Blvd, Pico Rivera, CA, 90660",14,0
Cintas Corporation,"20100 S Susana Rd, Compton, CA, 90221",18,0
Citibank,"13003 Victory Blvd, North Hollywood, CA, 91606",6,0
