Setting Name,Address,Total Confirmed Staff,Total Confirmed Non-Staff
99 Cents Only Stores Warehouse and Corporate Office,"4000 Union Pacific Ave, Commerce, CA, 90023",74,0
"365 Delivery, Inc.","21822 Lassen St, Chatsworth, CA, 91311",3,0
"AA Meat, Inc.","6544 Flotilla St, Commerce, CA, 90040",7,0
Abbott Laboratories,"15900 Valley View Ct, Sylmar, CA, 91342",22,0
Able Services,"351 S Fuller Ave, Tower 35, Los Angeles, CA, 90036",12,0
ABM Industries - Century Park,"2049 Century Park E, Level D, Los Angeles, CA, 90067",4,0
ACCO Engineered Systems,"3421 S Malt Ave, Commerce, CA, 90040",6,0
Accurate Manufacturing Company,"6641 San Fernando Rd, Glendale, CA, 91201",5,0
Accurate Steel Treating,"10008 Miller Way, South Gate, CA, 90280",8,0
Acorn Paper,"3701 Union Pacific Ave, Los Angeles, CA, 90023",17,0
"Acromil, LLC","18421 Railroad St, City of Industry, CA, 91748",7,0
Aero Chrome Plating,"14660 Arminta St, Panorama City, CA, 91402",5,0
Aeroscopic Construction,"1833 Dana St, Glendale, CA, 91201",6,0
Air Fayre,"1720 W 135th St, Gardena, CA, 90249",21,0
"Airnamic, Inc.","801 Western Ave, Glendale, CA, 91201",26,0
Alexander's Prime Meats,"6580 N San Gabriel Blvd, San Gabriel, CA, 91775",13,0
Alpha Aviation Components,"16772 Schoenborn St, North Hills, CA, 91343",11,0
Alpha Romero Maserati of Van Nuys,"5711 Van Nuys Blvd, Van Nuys, CA, 91401",36,0
Alta Dena Dairy,"17637 E Valley Blvd, City of Industry, CA, 91744",28,0
"Amazon Bookstore, Los Cerritos - JFN3","239 Los Cerritos Mall, Ste C03, Cerritos, CA, 90703",5,0
Amazon DAX7,"9350 Rayo Ave, South Gate, CA, 90280",51,0
Amazon DLA3,"5829 Smithway St, Commerce, CA, 90040",24,0
Amazon DLA8,"2815 W El Segundo Blvd, Hawthorne, CA, 90250",52,0
Amazon DLX9,"5750 Mesmer Ave, Culver City, CA, 90230",12,0
Amazon DPS1,"4187 Temple City Blvd, El Monte, CA, 91731",66,0
"American Nuts, LLC","12950 San Fernando Rd, Sylmar, CA, 91342",13,0
Andrew Lauren Surfaces (1),"13220 Cambridge St, Santa Fe Springs, CA, 90670",3,0
Andrew Lauren Surfaces (2),"13220 Cambridge St, Santa Fe Springs, CA, 90670",18,0
"Apple Store, Beverly Center","8500 Beverly Blvd, Suite 782, Los Angeles, CA, 90048",3,0
"Apple Store, Glendale Galleria","2126 Glendale Galleria, Glendale, CA, 91210",13,0
"Apple Store, Los Cerritos Center","242 Los Cerritos Mall, Cerritos, CA, 90703",10,0
"Arcadia, Inc. Steel Windows Department","2301 E Vernon Ave, Vernon, CA, 90058",8,0
Armorcast Products Company,"9140 Lurline Ave, Chatsworth, CA, 91311",17,0
Athens Services,"9147 De Garmo Ave, Sun Valley, CA, 91352",9,0
AutoNation Toyota Cerritos,"18700 Studebaker Rd, Cerritos, CA, 90703",17,0
Bagcraft Novolex,"515 Turnbull Canyon Rd, City of Industry, CA, 91745",17,0
